Name,Street,City,State,Country,Zipcode,Latitude,Longitude,Category
Rockefeller Wildlife Refuge,5476 Grand Chenier Highway,Grand Chenier,Louisiana,United States,70643,29.72952,-92.81786,Crocodylus
Xiamen Lonsun crocodile zoo,,,Fujian,China,,26.103654,119.290581,Crocodylus
Rockefeller Wildlife Refuge,5476 Grand Chenier Highway,Grand Chenier,Louisiana,United States,70643,29.72952,-92.81786,Crocodylus
Changxing Yin-jiabian Chinese Alligator Nature Reserve,,Huzhou,Zhejiang,China,313125,30.902225,119.737244,Crocodylus
Changxing Yin-jiabian Chinese Alligator Nature Reserve,,Huzhou,Zhejiang,China,313125,30.902225,119.737244,Crocodylus
Louisiana,,,Louisiana,United States,,30.600094,-91.889648,Crocodylus
Rockefeller Wildlife Refuge,5476 Grand Chenier Highway,Grand Chenier,Louisiana,United States,70643,29.72952,-92.81786,Crocodylus
Koorana Crocodile Farm,65 Savages Road,Coowonga,Queensland,Australia,4702,-23.327124,150.759888,Crocodylus
Alligator Conservation Center in Anhui Province,,,Anhui,China,,31.826232,117.251587,Crocodylus
